Episode,TotalReward
1,31.0
2,26.0
3,22.0
4,16.0
5,26.0
6,21.0
7,13.0
8,11.0
9,35.0
10,31.0
11,16.0
12,35.0
13,18.0
14,11.0
15,39.0
16,16.0
17,13.0
18,13.0
19,20.0
20,14.0
21,25.0
22,23.0
23,24.0
24,47.0
25,11.0
26,14.0
27,48.0
28,21.0
29,9.0
30,11.0
31,12.0
32,10.0
